"transaction_counts_id","book_id","times_out","is_indeterminate"
"291","10633","124","0"
"292","1161","124","0"
"293","7941","124","0"
"294","4357","123","0"
"295","8368","122","0"
"296","8581","122","0"
"297","10058","122","0"
"298","75","121","0"
"299","3315","121","0"
"300","8644","121","0"
"301","11033","121","0"
"302","10009","121","0"
"303","9210","120","0"
"304","8151","120","0"
"305","10560","120","0"
"306","5567","120","0"
"307","864","120","0"
"308","2654","120","0"
"309","95","120","0"
"310","10987","120","0"
"311","11131","120","0"
"312","4342","120","0"
"313","4375","120","0"
"314","10979","119","0"
"315","8912","119","0"
"316","11029","119","0"
"317","8914","119","0"
"318","11159","119","0"
"319","7308","119","0"
"320","4552","118","0"
"321","5034","118","0"
"322","1715","118","0"
"323","1880","118","0"
"324","53","117","0"
"325","9007","117","0"
"326","7774","117","0"
"327","1149","116","0"
"328","6933","116","0"
"329","384","116","0"
"330","9831","116","0"
"331","2037","115","0"
"332","4354","115","0"
"333","10408","115","0"
"334","11065","115","0"
"335","933","115","0"
"336","694","115","0"
"337","1546","115","0"
"338","10554","115","0"
"339","294","115","0"
"340","5246","114","0"
"341","5248","114","0"
"342","7954","114","0"
"343","1853","114","0"
"344","7181","114","0"
"345","7551","114","0"
"346","7183","114","0"
"347","1549","114","0"
"348","5241","113","0"
"349","377","113","0"
"350","11135","113","0"
"351","2055","113","0"
"352","11044","113","0"
"353","2800","113","0"
"354","8913","113","0"
"355","9619","113","0"
"356","5493","113","0"
"357","8217","112","0"
"358","4366","112","0"
"359","10627","112","0"
"360","4369","112","0"
"361","2888","112","0"
"362","190","112","0"
"363","11067","112","0"
"364","4360","111","0"
"365","795","111","0"
"366","8393","111","0"
"367","11122","111","0"
"368","4654","111","0"
"369","2494","111","0"
"370","5985","111","0"
"371","2303","111","0"
"372","1109","111","0"
"373","1009","111","0"
"374","1312","110","0"
"375","2044","110","0"
"376","8295","109","0"
"377","9602","109","0"
"378","10515","109","0"
"379","11079","109","0"
"380","2851","109","0"
"381","8369","109","0"
"382","11146","109","0"
"383","5702","109","0"
"384","8438","109","0"
"385","8357","108","0"
"386","508","108","0"
"387","383","108","0"
"388","10981","108","0"
"389","3827","108","0"
"390","372","108","0"
"391","7776","108","0"
"392","3206","108","0"
"393","6716","108","0"
"394","11133","107","0"
"395","793","107","0"
"396","329","107","0"
"397","1033","107","0"
"398","10991","107","0"
"399","10511","107","0"
"400","5228","107","0"
"401","366","107","0"
"402","6821","107","0"
"403","6715","107","0"
"404","10128","106","0"
"405","5698","106","0"
